section_links
&rlm;[[:Athlon]]&rlm; (hu)	Athlon
&rlm;[[:RDRAM]]&rlm; (it)	RDRAM
&rlm;[[:SDRAM]]&rlm; (fi)	SDRAM
&rlm;[[:DDR SDRAM]]&rlm; (el fi)	DDR SDRAM
&rlm;[[:ADSL]]&rlm; (sv)	ADSL
[[:אקסיומת המקבילים]] (tr)	אקסיומת המקבילים
[[:בנייה בסרגל ובמחוגה]] (eo)	בנייה בסרגל ובמחוגה
[[:אסמבלר]] (en pt)	אסמבלר
[[:תורת הקבוצות האקסיומטית]] (en)	תורת הקבוצות האקסיומטית
[[:שפת סף]] (pl)	שפת סף
&rlm;[[:שכבת הרשת של מודל ה-OSI]]&rlm; (de)	שכבת הרשת של מודל ה-OSI
[[:הצרחה]] (es)	הצרחה
[[:קין]] (en)	קין
[[:גאוגרפיה של ארץ ישראל]] (bn)	גאוגרפיה של ארץ ישראל
[[:הבל]] (en)	הבל
[[:המוות השחור]] (ja)	המוות השחור
&rlm;[[:שכבת הקו של מודל ה-OSI]]&rlm; (de)	שכבת הקו של מודל ה-OSI
&rlm;[[:השכבה הפיזית של מודל ה-OSI]]&rlm; (ru)	השכבה הפיזית של מודל ה-OSI
[[:סוגה מוזיקלית]] (de)	סוגה מוזיקלית
[[:מיון עולם הטבע]] (de nl)	מיון עולם הטבע
[[:אנתרופואידים]] (en)	אנתרופואידים
[[:יחידות מידה לאורך]] (en)	יחידות מידה לאורך
[[:כלל הסה]] (en)	כלל הסה
[[:חלב יונים]] (de)	חלב יונים
[[:חכמי חלם]] (en)	חכמי חלם
[[:דולמן]] (sv)	דולמן
[[:כלכלת ישראל]] (bn)	כלכלת ישראל
[[:אופליה]] (de)	אופליה
[[:תועלת שולית]] (de)	תועלת שולית
[[:ימים ואוקיינוסים]] (an bat-smg be-x-old cs cy el en es eu fa hr hu it ja ka lt nds-nl nl os pl pt ru sh simple sk sl su ta tr uk uz vi)	ימים ואוקיינוסים
[[:לורד וולדמורט]] (de)	לורד וולדמורט
[[:זמר עברי]] (pt)	זמר עברי
[[:תאוריית הצרכים]] (it)	תאוריית הצרכים
[[:מהימנות (שיטות מחקר)]] (pl)	מהימנות (שיטות מחקר)
[[:פוליטיקה של ישראל]] (bn)	פוליטיקה של ישראל
&rlm;[[:Age of Empires]]&rlm; (de)	Age of Empires
[[:עקדת יצחק]] (pt)	עקדת יצחק
[[:הומופוניה]] (fr)	הומופוניה
[[:מפא"י]] (de)	מפא"י
[[:עולמות מתנגשים]] (de)	עולמות מתנגשים
[[:ניקוד העברית בת ימינו]] (de)	ניקוד העברית בת ימינו
[[:ממלכת הכוזרים]] (en)	ממלכת הכוזרים
[[:אוכלוסייה]] (id)	אוכלוסייה
[[:הגולם מפראג]] (en)	הגולם מפראג
[[:בעלות הברית]] (de fa)	בעלות הברית
[[:פצצת נייטרון]] (de)	פצצת נייטרון
[[:תת-קבוצה]] (ro)	תת-קבוצה
[[:זוג סדור]] (ru)	זוג סדור
[[:קווידיץ']] (de)	קווידיץ'
[[:משפט אייכמן]] (en fr)	משפט אייכמן
[[:אקלים ארץ ישראל]] (en)	אקלים ארץ ישראל
[[:אדד-ניררי השני]] (sv)	אדד-ניררי השני
[[:קהילה רצונית]] (de)	קהילה רצונית
[[:מונרכיה חוקתית]] (hu)	מונרכיה חוקתית
[[:קרח יבש]] (fi fr)	קרח יבש
[[:צילום אוויר]] (es)	צילום אוויר
[[:גרף של פונקציה]] (pt)	גרף של פונקציה
[[:סקלר (פיזיקה)]] (de)	סקלר (פיזיקה)
[[:מואבית]] (en)	מואבית
[[:עורק]] (cs)	עורק
[[:דרור הבית]] (simple)	דרור הבית
[[:סלסה (ריקוד)]] (fr)	סלסה (ריקוד)
[[:משקל]] (vi)	משקל
[[:מונומר]] (hu)	מונומר
[[:פלזמה (דם)]] (simple)	פלזמה (דם)
[[:ציר המספרים]] (ja)	ציר המספרים
[[:כוח]] (da)	כוח
[[:התפלגות]] (it)	התפלגות
[[:זמן אוניברסלי מתואם]] (fi)	זמן אוניברסלי מתואם
[[:נוויל לונגבוטום]] (da de en fr ka lt vi)	נוויל לונגבוטום
[[:טרילוגיה]] (de)	טרילוגיה
[[:הרמיוני גריינג'ר]] (de)	הרמיוני גריינג'ר
[[:עמילן]] (da)	עמילן
[[:רוק סימפוני]] (de)	רוק סימפוני
[[:חמשה]] (fi)	חמשה
[[:התשובה לחיים, היקום וכל השאר]] (en)	התשובה לחיים, היקום וכל השאר
[[:האינקוויזיציה הספרדית]] (sv)	האינקוויזיציה הספרדית
[[:תאוריית ההתפתחות הקוגניטיבית של פיאז'ה]] (de nl)	תאוריית ההתפתחות הקוגניטיבית של פיאז'ה
[[:תרבות מצרים העתיקה]] (en)	תרבות מצרים העתיקה
[[:משפט המינימקס]] (en)	משפט המינימקס
[[:דיני נזיקין]] (es)	דיני נזיקין
&rlm;[[:NOR לוגי]]&rlm; (es it)	NOR לוגי
&rlm;[[:NAND לוגי]]&rlm; (es)	NAND לוגי
[[:וירג'ינל]] (it)	וירג'ינל
[[:קילומטר רבוע]] (de)	קילומטר רבוע
[[:סיבוכיות זמן]] (en)	סיבוכיות זמן
[[:קבוצה פורשת]] (pl ru)	קבוצה פורשת
[[:מנוע בעירה פנימית]] (cs)	מנוע בעירה פנימית
[[:פנאתינייקוס (כדורגל)]] (io)	פנאתינייקוס (כדורגל)
[[:גרף ממושקל]] (en)	גרף ממושקל
[[:בעיית גוף-נפש]] (de)	בעיית גוף-נפש
[[:מיון בועות]] (no)	מיון בועות
[[:מיון מיזוג]] (no)	מיון מיזוג
[[:מיון מהיר]] (no)	מיון מהיר
[[:חיתוך עץ]] (fi)	חיתוך עץ
[[:חט]] (pt)	חט
