ארגונים
[[:יד יערי]]	יד יערי
[[:תא כתום]]	תא כתום
[[:אוק"י]]	אוק"י
[[:אומ"ץ]]	אומ"ץ
[[:איל"ן]]	איל"ן
[[:הגרפוטק הישראלי]]	הגרפוטק הישראלי
[[:מאבק אחד]]	מאבק אחד
[[:סומליו"ן]]	סומליו"ן
[[:תנועת ציונות דתית ריאלית]]	תנועת ציונות דתית ריאלית
[[:אור לחינוך]]	אור לחינוך
[[:מרכז השל]]	מרכז השל
[[:צו פיוס]]	צו פיוס
[[:לטם]]	לטם
[[:תנועה לתורה מנהיגה]]	תנועה לתורה מנהיגה
[[:מכון אבשלום]]	מכון אבשלום
[[:דרור (עמותה)]]	דרור (עמותה)
[[:הורה ירושלים]]	הורה ירושלים
[[:קדמה (תנועה חברתית)]]	קדמה (תנועה חברתית)
[[:הוועד למלחמה באיידס]]	הוועד למלחמה באיידס
[[:נוע"ם]]	נוע"ם
[[:מרכז מציל"ה]]	מרכז מציל"ה
[[:העמותה למשחקי תפקידים בישראל]]	העמותה למשחקי תפקידים בישראל
[[:קרן לב"י]]	קרן לב"י
[[:ידידים (עמותה)]]	ידידים (עמותה)
[[:מאיר פנים]]	מאיר פנים
[[:חדו"ש – לחופש דת ושוויון]]	חדו"ש – לחופש דת ושוויון
