חברות מסחריות
[[:סיגריות מספרו]]	סיגריות מספרו
[[:ליבר]]	ליבר
[[:הוצאת כרמל]]	הוצאת כרמל
[[:מאיר חברה למכוניות ומשאיות]]	מאיר חברה למכוניות ומשאיות
[[:צומת ספרים]]	צומת ספרים
[[:איי די בי חברה לאחזקות]]	איי די בי חברה לאחזקות
[[:עפקו]]	עפקו
[[:מפעל נשר רמלה]]	מפעל נשר רמלה
[[:קסטרא (קניון)]]	קסטרא (קניון)
[[:צ'יף יישומים ישראל]]	צ'יף יישומים ישראל
[[:עלי שלכת (חברה)]]	עלי שלכת (חברה)
[[:טלמאפ]]	טלמאפ
[[:חברת אשלג ארץ-ישראלית]]	חברת אשלג ארץ-ישראלית
[[:חרש אופן]]	חרש אופן
[[:הולמס פלייס]]	הולמס פלייס
[[:נגבטק]]	נגבטק
[[:טיק טק טכנולוגיות]]	טיק טק טכנולוגיות
