יישובים בישראל
[[:אתגר (יישוב)]]	אתגר (יישוב)
[[:גני יהודה]]	גני יהודה
[[:ורד הגליל]]	ורד הגליל
[[:תל ציון]]	תל ציון
[[:קטגוריה:ישראל: חוות]]	ישראל: חוות
[[:יזרעם]]	יזרעם
[[:כפר מרמורק]]	כפר מרמורק
[[:קטגוריה:ישראל: מועצות אזוריות לשעבר]]	ישראל: מועצות אזוריות לשעבר
[[:אבו עמרה]]	אבו עמרה
[[:קטגוריה:ישראל: תכנון ובנייה]]	ישראל: תכנון ובנייה
[[:עין הים]]	עין הים
[[:קטגוריה:ישראל: רשויות מקומיות לשעבר]]	ישראל: רשויות מקומיות לשעבר
[[:קטגוריה:יהוד-מונוסון]]	יהוד-מונוסון
[[:קטגוריה:יבנה]]	יבנה
[[:חמארה (כפר)]]	חמארה (כפר)
