ישראל - אמנות
[[:אדווין סלומון]]	אדווין סלומון
[[:אדוארד גרוסמן]]	אדוארד גרוסמן
[[:מ' אריה]]	מ' אריה
[[:משה פרופס]]	משה פרופס
[[:משה שטרנשוס]]	משה שטרנשוס
[[:החברה הישראלית למדליות ולמטבעות]]	החברה הישראלית למדליות ולמטבעות
[[:משה מוקדי]]	משה מוקדי
[[:תערוכות מגדל דוד]]	תערוכות מגדל דוד
[[:אורי ליפשיץ]]	אורי ליפשיץ
&rlm;[[:חבורת A4]]&rlm;	חבורת A4
[[:אמנות חזותית בישראל]]	אמנות חזותית בישראל
[[:משה הופמן]]	משה הופמן
[[:נמרוד (פסל)]]	נמרוד (פסל)
[[:רפי פלד]]	רפי פלד
[[:רות צרפתי]]	רות צרפתי
[[:תבליט השואה והגבורה]]	תבליט השואה והגבורה
[[:אילנה גור]]	אילנה גור
[[:יהושע ברנדשטטר]]	יהושע ברנדשטטר
[[:קטגוריה:ירושלים: פסלים]]	ירושלים: פסלים
[[:מחווה לירושלים]]	מחווה לירושלים
[[:פסטיבל מחול כרמיאל]]	פסטיבל מחול כרמיאל
[[:ניר הוד]]	ניר הוד
[[:אבשלום עוקשי]]	אבשלום עוקשי
[[:סוניה קולודני]]	סוניה קולודני
[[:משה ברנשטיין]]	משה ברנשטיין
[[:נחום כהן]]	נחום כהן
[[:פנחס אברמוביץ]]	פנחס אברמוביץ
[[:קסטרא (קניון)]]	קסטרא (קניון)
[[:פנחס צינוביץ]]	פנחס צינוביץ
[[:טובה חסין]]	טובה חסין
[[:משה ברש]]	משה ברש
[[:שמעון שרון]]	שמעון שרון
[[:קטגוריה:יגאל תומרקין]]	יגאל תומרקין
[[:ברוך נחשון]]	ברוך נחשון
[[:אבא פניכל]]	אבא פניכל
[[:יעקב מטריקין]]	יעקב מטריקין
[[:משה גבעתי]]	משה גבעתי
[[:שלום מושקוביץ']]	שלום מושקוביץ'
[[:הברווז על גג עיריית תל אביב]]	הברווז על גג עיריית תל אביב
[[:יעקב רוזנבוים]]	יעקב רוזנבוים
[[:אבישי אביבי]]	אבישי אביבי
[[:ירמי פינקוס]]	ירמי פינקוס
[[:האנדרטה לזכר קרבנות אסון מגדלי התאומים (ירושלים)]]	האנדרטה לזכר קרבנות אסון מגדלי התאומים (ירושלים)
[[:פסטיבל מחול יזרעאלי]]	פסטיבל מחול יזרעאלי
