ישראל - שלטון מקומי
[[:חנה לוין]]	חנה לוין
[[:יחזקאל זונאבנד]]	יחזקאל זונאבנד
[[:אריה תגר]]	אריה תגר
[[:ספי ריבלין]]	ספי ריבלין
[[:אברהם קריניצי]]	אברהם קריניצי
[[:משה זילברמן]]	משה זילברמן
[[:מועצה אזורית קריית אונו]]	מועצה אזורית קריית אונו
[[:מועצה אזורית תל מונד]]	מועצה אזורית תל מונד
[[:מועצה אזורית השרון התיכון]]	מועצה אזורית השרון התיכון
[[:מועצה אזורית מפעלות אפק]]	מועצה אזורית מפעלות אפק
[[:שמואל בן-טובים]]	שמואל בן-טובים
[[:משה שכטר]]	משה שכטר
[[:משה ספקטור]]	משה ספקטור
[[:אלי מויאל]]	אלי מויאל
[[:קטגוריה:ערי יהודה]]	ערי יהודה
[[:נפת פתח תקווה]]	נפת פתח תקווה
[[:ישראל פלד]]	ישראל פלד
[[:נפת רמלה]]	נפת רמלה
[[:נפת רחובות]]	נפת רחובות
[[:משה אירנשטיין]]	משה אירנשטיין
[[:ישכר פרנקנטהל]]	ישכר פרנקנטהל
[[:ועדה קרואה]]	ועדה קרואה
[[:אבי רואה]]	אבי רואה
[[:נפת עכו]]	נפת עכו
[[:חיים ביבס]]	חיים ביבס
[[:דוד גולדמן]]	דוד גולדמן
[[:עיר ללא אלימות]]	עיר ללא אלימות
