ישראל - תיאטרון
[[:רפאל קלצ'קין]]	רפאל קלצ'קין
[[:צוותא]]	צוותא
[[:תיאטרון הפרינג']]	תיאטרון הפרינג'
[[:אברהם דשא (פשנל)]]	אברהם דשא (פשנל)
[[:בוסתן ספרדי]]	בוסתן ספרדי
[[:בומבה צור]]	בומבה צור
[[:משפחת בנאי]]	משפחת בנאי
[[:אברהם חלפי]]	אברהם חלפי
[[:ספי ריבלין]]	ספי ריבלין
[[:תיאטרון בישראל]]	תיאטרון בישראל
[[:מיכאל גורביץ']]	מיכאל גורביץ'
[[:דב נבון]]	דב נבון
[[:פיטר פריי]]	פיטר פריי
[[:דני שגב]]	דני שגב
[[:גיל פרנק]]	גיל פרנק
[[:עודד תאומי]]	עודד תאומי
[[:הלל מיטלפונקט]]	הלל מיטלפונקט
[[:תיקי דיין]]	תיקי דיין
[[:ליל העשרים]]	ליל העשרים
[[:אלכס אנסקי]]	אלכס אנסקי
[[:דליה פרידלנד]]	דליה פרידלנד
[[:אילן נוב]]	אילן נוב
[[:גל זייד]]	גל זייד
[[:דרור קרן]]	דרור קרן
[[:צדי צרפתי]]	צדי צרפתי
[[:יהושע ברנדשטטר]]	יהושע ברנדשטטר
[[:נפתלי יבין]]	נפתלי יבין
[[:יעל שרוני]]	יעל שרוני
[[:ורד פלדמן]]	ורד פלדמן
[[:אבי פניני]]	אבי פניני
[[:מרי לו]]	מרי לו
[[:אבי מלכה]]	אבי מלכה
[[:אביב זמר]]	אביב זמר
[[:דב גליקמן]]	דב גליקמן
[[:משה חורגל]]	משה חורגל
[[:חיים זנאתי]]	חיים זנאתי
[[:איגור בוריסוב]]	איגור בוריסוב
[[:הגליל והתחתון]]	הגליל והתחתון
[[:משה ולין]]	משה ולין
[[:איקה זהר]]	איקה זהר
[[:משה זעירי]]	משה זעירי
[[:הרטיטי את לבי]]	הרטיטי את לבי
[[:יעל קרוון]]	יעל קרוון
&rlm;[[:Smallבמה]]&rlm;	Smallבמה
[[:סיפור משפחתי]]	סיפור משפחתי
[[:איש חסיד היה]]	איש חסיד היה
[[:אורנה יקיר]]	אורנה יקיר
[[:יניב ביטון]]	יניב ביטון
[[:אילן דר]]	אילן דר
[[:משה בקר]]	משה בקר
[[:אילנית גרשון]]	אילנית גרשון
[[:אליהו גולדנברג]]	אליהו גולדנברג
[[:איגור ברזין]]	איגור ברזין
[[:רות קנר]]	רות קנר
[[:יעקובי ולידנטל]]	יעקובי ולידנטל
