ישראל
[[:עמודו]]	עמודו
[[:ועדת שמגר]]	ועדת שמגר
[[:אסון פסטיבל ערד]]	אסון פסטיבל ערד
[[:עונג שבת (פירושונים)]]	עונג שבת (פירושונים)
[[:ארלוזורוב]]	ארלוזורוב
[[:לוי יצחק]]	לוי יצחק
[[:יעקב זיו]]	יעקב זיו
[[:החלוץ (פירושונים)]]	החלוץ (פירושונים)
[[:שובל (פירושונים)]]	שובל (פירושונים)
[[:יתיר]]	יתיר
[[:שמר (פירושונים)]]	שמר (פירושונים)
[[:תל חי (פירושונים)]]	תל חי (פירושונים)
[[:שמואל שילה]]	שמואל שילה
[[:פרס הרצל (הרצליה)]]	פרס הרצל (הרצליה)
[[:אבנר חזקיהו]]	אבנר חזקיהו
[[:נבון]]	נבון
[[:תפן (פירושונים)]]	תפן (פירושונים)
[[:עין פית]]	עין פית
[[:בן יהודה]]	בן יהודה
[[:ביריה (פירושונים)]]	ביריה (פירושונים)
[[:בורוכוב (פירושונים)]]	בורוכוב (פירושונים)
[[:סמל העיר פתח תקווה]]	סמל העיר פתח תקווה
[[:זרובבל (פירושונים)]]	זרובבל (פירושונים)
[[:יזהר כהן (מאייר)]]	יזהר כהן (מאייר)
[[:שעלבים (פירושונים)]]	שעלבים (פירושונים)
[[:יצחק לוי (פירושונים)]]	יצחק לוי (פירושונים)
[[:פנחס רשיש]]	פנחס רשיש
[[:שלמה כהן]]	שלמה כהן
[[:נחלת יצחק (פירושונים)]]	נחלת יצחק (פירושונים)
[[:עדולם (פירושונים)]]	עדולם (פירושונים)
[[:עוד מעט נהפוך לשיר]]	עוד מעט נהפוך לשיר
[[:אוסישקין (פירושונים)]]	אוסישקין (פירושונים)
[[:קסטינה (פירושונים)]]	קסטינה (פירושונים)
[[:חלפון]]	חלפון
[[:כלפון]]	כלפון
[[:רצועת הביטחון (פירושונים)]]	רצועת הביטחון (פירושונים)
[[:שיכון חב"ד]]	שיכון חב"ד
[[:התומר]]	התומר
[[:מסגרות לטיפול ושיקום לנכים]]	מסגרות לטיפול ושיקום לנכים
[[:אלבינה, דוניה וקטינקא]]	אלבינה, דוניה וקטינקא
[[:סינקופה (פירושונים)]]	סינקופה (פירושונים)
