סופרים ישראליים
[[:צפורה פוזין]]	צפורה פוזין
[[:לאה נאור]]	לאה נאור
[[:רעיה בלטמן]]	רעיה בלטמן
[[:מרדכי נאור]]	מרדכי נאור
[[:בארי צימרמן]]	בארי צימרמן
[[:ריקה ברקוביץ]]	ריקה ברקוביץ
[[:אריאלה דים-גולדברג]]	אריאלה דים-גולדברג
[[:רעיה הרניק]]	רעיה הרניק
[[:עלי אלון]]	עלי אלון
[[:ישראל רינג]]	ישראל רינג
[[:אשר רייך]]	אשר רייך
[[:סבינה מסג]]	סבינה מסג
[[:יריב בן-אהרן]]	יריב בן-אהרן
[[:ראובן קריץ]]	ראובן קריץ
[[:שמואל הופרט]]	שמואל הופרט
[[:שמחה רז]]	שמחה רז
[[:שמחה סיאני]]	שמחה סיאני
[[:יוסף עוזר]]	יוסף עוזר
[[:סמדר שיר]]	סמדר שיר
[[:שלמה שפירא (משורר)]]	שלמה שפירא (משורר)
[[:שז]]	שז
[[:מנשה לוין]]	מנשה לוין
[[:סיון בסקין]]	סיון בסקין
[[:אמיר גוטפרוינד]]	אמיר גוטפרוינד
[[:חיים אברהם]]	חיים אברהם
[[:אשר כנפו]]	אשר כנפו
[[:תומר שריג]]	תומר שריג
[[:חנה בר]]	חנה בר
[[:אורציון ברתנא]]	אורציון ברתנא
[[:יונה אלון]]	יונה אלון
[[:אהרן ירושלמי]]	אהרן ירושלמי
[[:משה סקאל]]	משה סקאל
[[:שרגא קדרי]]	שרגא קדרי
