ספרים ישראליים
[[:ספר הביטויים המקיף]]	ספר הביטויים המקיף
[[:תרנגול כפרות (ספר)]]	תרנגול כפרות (ספר)
[[:שמחה גדולה בשמים]]	שמחה גדולה בשמים
[[:השטן של הפרקליט]]	השטן של הפרקליט
[[:סבא שלי היה רב]]	סבא שלי היה רב
[[:ספר הבדיחה והחידוד]]	ספר הבדיחה והחידוד
[[:המרדף אחרי הנסיך האדום]]	המרדף אחרי הנסיך האדום
&rlm;[[:1967 - והארץ שינתה את פניה]]&rlm;	1967 - והארץ שינתה את פניה
[[:תחת התות]]	תחת התות
[[:אתה אוהב אותי]]	אתה אוהב אותי
[[:בימת קדם]]	בימת קדם
[[:אתמולים אבודים]]	אתמולים אבודים
[[:איה פלוטו]]	איה פלוטו
[[:ואלה מארץ סינים]]	ואלה מארץ סינים
[[:תחרות שחייה]]	תחרות שחייה
[[:תהלה (נובלה)]]	תהלה (נובלה)
