פירושונים רק בעברית
[[:חמה]]	חמה
[[:צדק]]	צדק
[[:שמש]]	שמש
[[:בקעה]]	בקעה
[[:גריג]]	גריג
[[:זרעים]]	זרעים
[[:יורה]]	יורה
[[:כסף]]	כסף
[[:מוסד]]	מוסד
[[:משפט]]	משפט
[[:מרכבה]]	מרכבה
[[:מכתב השמיניסטים]]	מכתב השמיניסטים
[[:שופט (פירושונים)]]	שופט (פירושונים)
[[:נבל (פירושונים)]]	נבל (פירושונים)
[[:מבול (פירושונים)]]	מבול (פירושונים)
[[:תור]]	תור
[[:תמורה]]	תמורה
[[:אלה]]	אלה
[[:צלף]]	צלף
[[:צורן (פירושונים)]]	צורן (פירושונים)
[[:סרט נע]]	סרט נע
[[:הפרשה]]	הפרשה
[[:מצפה]]	מצפה
[[:כתב יד]]	כתב יד
[[:לחי]]	לחי
[[:קרחון]]	קרחון
[[:דרור]]	דרור
[[:אורגן]]	אורגן
[[:אזוב]]	אזוב
[[:אבל]]	אבל
[[:מנוף]]	מנוף
[[:סיירת]]	סיירת
[[:תו]]	תו
[[:עץ (פירושונים)]]	עץ (פירושונים)
[[:סגי נהור (פירושונים)]]	סגי נהור (פירושונים)
[[:צבר]]	צבר
[[:מע"ר]]	מע"ר
[[:ברה"מ]]	ברה"מ
[[:שיח (פירושונים)]]	שיח (פירושונים)
[[:חום]]	חום
[[:אמנון]]	אמנון
[[:סאקי]]	סאקי
[[:רע"מ]]	רע"מ
[[:אא"ג]]	אא"ג
[[:בעת]]	בעת
[[:שלט]]	שלט
[[:כישור]]	כישור
[[:שבר]]	שבר
[[:קנה (פירושונים)]]	קנה (פירושונים)
[[:מצר (פירושונים)]]	מצר (פירושונים)
[[:בונה]]	בונה
[[:גרון (פירושונים)]]	גרון (פירושונים)
[[:מולדת (פירושונים)]]	מולדת (פירושונים)
[[:אמור]]	אמור
[[:גור]]	גור
[[:בית]]	בית
[[:שבלול (פירושונים)]]	שבלול (פירושונים)
[[:הסלע האדום]]	הסלע האדום
[[:דקר]]	דקר
[[:שפל]]	שפל
[[:גליל]]	גליל
[[:ימים]]	ימים
[[:מעלות]]	מעלות
[[:לבנה]]	לבנה
[[:זן]]	זן
[[:פירוז]]	פירוז
[[:יחסות]]	יחסות
[[:שרף (פירושונים)]]	שרף (פירושונים)
&rlm;[[:TIME]]&rlm;	TIME
[[:ישראל אהרוני]]	ישראל אהרוני
[[:חרם]]	חרם
[[:עילוי]]	עילוי
[[:המראה]]	המראה
[[:טמפרה]]	טמפרה
[[:קירוב (פירושונים)]]	קירוב (פירושונים)
[[:המלחה]]	המלחה
[[:אות (פירושונים)]]	אות (פירושונים)
[[:אלוף (פירושונים)]]	אלוף (פירושונים)
[[:בניין]]	בניין
[[:דובר]]	דובר
[[:אל (פירושונים)]]	אל (פירושונים)
[[:שמאי]]	שמאי
[[:משחק (פירושונים)]]	משחק (פירושונים)
[[:פו]]	פו
[[:עטרה]]	עטרה
[[:שלוש]]	שלוש
[[:יובל]]	יובל
[[:קורה]]	קורה
[[:רעש (פירושונים)]]	רעש (פירושונים)
[[:אוסה]]	אוסה
[[:אני מאמין]]	אני מאמין
[[:פשפש]]	פשפש
[[:פלאפון]]	פלאפון
[[:דרבן]]	דרבן
[[:קריש]]	קריש
[[:ינון]]	ינון
[[:בוראן]]	בוראן
[[:גיבוש]]	גיבוש
[[:ציר]]	ציר
[[:כתב (פירושונים)]]	כתב (פירושונים)
[[:גזירה]]	גזירה
[[:סולם (פירושונים)]]	סולם (פירושונים)
[[:ספר (פירושונים)]]	ספר (פירושונים)
[[:הקדשה]]	הקדשה
[[:מלוח]]	מלוח
[[:מסאי]]	מסאי
[[:כור]]	כור
[[:קרח (פירושונים)]]	קרח (פירושונים)
[[:כלנית (פירושונים)]]	כלנית (פירושונים)
[[:תיבה]]	תיבה
[[:מקצוע (פירושונים)]]	מקצוע (פירושונים)
[[:מידות]]	מידות
[[:עמעם]]	עמעם
[[:הרצון לעוצמה]]	הרצון לעוצמה
[[:קול (פירושונים)]]	קול (פירושונים)
[[:תיאור]]	תיאור
[[:חולדה (פירושונים)]]	חולדה (פירושונים)
[[:צמצום]]	צמצום
[[:תשר"ק]]	תשר"ק
[[:פאה]]	פאה
[[:מטען]]	מטען
[[:כמהין]]	כמהין
[[:משואה]]	משואה
[[:אתגר]]	אתגר
[[:ואי]]	ואי
[[:שיפון]]	שיפון
[[:איילת השחר]]	איילת השחר
[[:גרוש (פירושונים)]]	גרוש (פירושונים)
[[:כוח עליון]]	כוח עליון
[[:ממ"ג]]	ממ"ג
[[:הפלה]]	הפלה
[[:מתח]]	מתח
[[:יח"ל]]	יח"ל
[[:מוסקט]]	מוסקט
[[:אדרת]]	אדרת
[[:געתון]]	געתון
[[:תומר]]	תומר
[[:יחידות מיוחדות]]	יחידות מיוחדות
[[:קום]]	קום
[[:אומן (פירושונים)]]	אומן (פירושונים)
[[:הצגה]]	הצגה
[[:קובה (פירושונים)]]	קובה (פירושונים)
[[:קקה]]	קקה
[[:פיפי (פירושונים)]]	פיפי (פירושונים)
[[:כוס]]	כוס
[[:תות]]	תות
[[:מרקס]]	מרקס
[[:שלווה]]	שלווה
[[:נבלה]]	נבלה
[[:חלוקה]]	חלוקה
[[:התחייה (פירושונים)]]	התחייה (פירושונים)
[[:ש"צ]]	ש"צ
[[:בצפר]]	בצפר
[[:שיבא]]	שיבא
[[:מתג]]	מתג
[[:שפה (פירושונים)]]	שפה (פירושונים)
[[:עובדה (פירושונים)]]	עובדה (פירושונים)
[[:כיפה]]	כיפה
[[:סביון]]	סביון
[[:סארה]]	סארה
[[:מסלול]]	מסלול
[[:שוק]]	שוק
[[:פריק]]	פריק
[[:מייצב]]	מייצב
[[:צמח (פירושונים)]]	צמח (פירושונים)
[[:אורי]]	אורי
[[:אגד (פירושונים)]]	אגד (פירושונים)
[[:רעות]]	רעות
[[:תחש]]	תחש
[[:הוד]]	הוד
[[:טבילה]]	טבילה
[[:מלגה]]	מלגה
[[:חם]]	חם
[[:גורי]]	גורי
[[:ליי]]	ליי
[[:הורה]]	הורה
[[:השמן והרזה]]	השמן והרזה
[[:קרט]]	קרט
[[:מקור (פירושונים)]]	מקור (פירושונים)
[[:גזע]]	גזע
[[:רון (פירושונים)]]	רון (פירושונים)
[[:נדנדה]]	נדנדה
[[:עין (פירושונים)]]	עין (פירושונים)
[[:אור (פירושונים)]]	אור (פירושונים)
[[:שרירן]]	שרירן
[[:פקודה]]	פקודה
[[:כיתה]]	כיתה
[[:תבל]]	תבל
[[:כביש החוף]]	כביש החוף
[[:טרף]]	טרף
[[:סוס ים]]	סוס ים
[[:יעוד]]	יעוד
[[:ממ"ד (פירושונים)]]	ממ"ד (פירושונים)
[[:מלקה]]	מלקה
[[:קציר (פירושונים)]]	קציר (פירושונים)
[[:מד"ן]]	מד"ן
[[:אופל]]	אופל
[[:ברדלס (פירושונים)]]	ברדלס (פירושונים)
[[:נבטים (פירושונים)]]	נבטים (פירושונים)
[[:פסיון]]	פסיון
[[:רא"ם]]	רא"ם
[[:מלון]]	מלון
[[:ספיחס]]	ספיחס
[[:של"ג]]	של"ג
[[:אצבעוני]]	אצבעוני
[[:מרווח]]	מרווח
[[:מחלקה (פירושונים)]]	מחלקה (פירושונים)
[[:אי בוק]]	אי בוק
[[:מיקוד]]	מיקוד
[[:חמדת ימים]]	חמדת ימים
[[:שלם]]	שלם
[[:חלה (פירושונים)]]	חלה (פירושונים)
[[:תמיד]]	תמיד
[[:ארץ]]	ארץ
[[:דרגה (פירושונים)]]	דרגה (פירושונים)
[[:סן (פירושונים)]]	סן (פירושונים)
[[:פשוש (פירושונים)]]	פשוש (פירושונים)
[[:המגן]]	המגן
[[:אינציקלופדיה]]	אינציקלופדיה
[[:סומק]]	סומק
[[:מדריך]]	מדריך
[[:גאנז]]	גאנז
[[:כרך]]	כרך
[[:חושן (פירושונים)]]	חושן (פירושונים)
[[:אשרה]]	אשרה
[[:מאה]]	מאה
[[:ניחוש]]	ניחוש
[[:סטיו]]	סטיו
[[:עלומים]]	עלומים
[[:באר]]	באר
[[:סודר]]	סודר
[[:מגל (פירושונים)]]	מגל (פירושונים)
[[:ניב]]	ניב
[[:תהילה]]	תהילה
[[:אמנה]]	אמנה
[[:אוני]]	אוני
[[:איה (פירושונים)]]	איה (פירושונים)
[[:ביקוע]]	ביקוע
[[:סארי]]	סארי
[[:שורו]]	שורו
[[:לוק]]	לוק
[[:עמודים]]	עמודים
[[:פקד]]	פקד
[[:אפיק]]	אפיק
[[:שו"ב]]	שו"ב
[[:דרכי נועם]]	דרכי נועם
[[:אספן]]	אספן
[[:סנטר]]	סנטר
[[:חגיגה]]	חגיגה
[[:סיגל]]	סיגל
[[:כתם (פירושונים)]]	כתם (פירושונים)
[[:מנוחה נכונה]]	מנוחה נכונה
[[:קור]]	קור
[[:היחידה]]	היחידה
[[:מינות]]	מינות
[[:תמונה]]	תמונה
[[:המקור]]	המקור
[[:מתלה]]	מתלה
[[:תקנה]]	תקנה
[[:תקפות]]	תקפות
[[:שוט (פירושונים)]]	שוט (פירושונים)
[[:הליכון]]	הליכון
[[:תואר]]	תואר
[[:גאולה (פירושונים)]]	גאולה (פירושונים)
[[:דנידין]]	דנידין
[[:מולה]]	מולה
[[:צפירה]]	צפירה
[[:תכליל]]	תכליל
[[:גזרה]]	גזרה
[[:פעמון (פירושונים)]]	פעמון (פירושונים)
[[:אלומה]]	אלומה
[[:מלצר (פירושונים)]]	מלצר (פירושונים)
[[:דאון (פירושונים)]]	דאון (פירושונים)
[[:נס (פירושונים)]]	נס (פירושונים)
[[:סנדלר (פירושונים)]]	סנדלר (פירושונים)
[[:צורך (פירושונים)]]	צורך (פירושונים)
[[:פרוש]]	פרוש
[[:הגה (פירושונים)]]	הגה (פירושונים)
[[:תג]]	תג
[[:גזלן]]	גזלן
[[:כבלים]]	כבלים
[[:שליט]]	שליט
[[:פיצוחים (פירושונים)]]	פיצוחים (פירושונים)
[[:מחילה]]	מחילה
[[:קליעה (פירושונים)]]	קליעה (פירושונים)
[[:עידוד]]	עידוד
[[:גרירה]]	גרירה
[[:בלו]]	בלו
[[:יד (פירושונים)]]	יד (פירושונים)
[[:דמיון (פירושונים)]]	דמיון (פירושונים)
[[:צמרת]]	צמרת
[[:נפה]]	נפה
[[:גבן]]	גבן
[[:גוף (פירושונים)]]	גוף (פירושונים)
[[:קש (פירושונים)]]	קש (פירושונים)
[[:יהלום (פירושונים)]]	יהלום (פירושונים)
[[:דובי (פירושונים)]]	דובי (פירושונים)
[[:חשיפה]]	חשיפה
[[:עובד (פירושונים)]]	עובד (פירושונים)
[[:מרק (פירושונים)]]	מרק (פירושונים)
[[:תכלת (פירושונים)]]	תכלת (פירושונים)
[[:אמ"ת]]	אמ"ת
[[:מורה (פירושונים)]]	מורה (פירושונים)
[[:אבוב (פירושונים)]]	אבוב (פירושונים)
[[:סאס]]	סאס
[[:קוממיות (פירושונים)]]	קוממיות (פירושונים)
[[:סוברו]]	סוברו
[[:מלחה (פירושונים)]]	מלחה (פירושונים)
[[:כלב (פירושונים)]]	כלב (פירושונים)
[[:ארבה (פירושונים)]]	ארבה (פירושונים)
[[:ינשוף (פירושונים)]]	ינשוף (פירושונים)
[[:בנייה (פירושונים)]]	בנייה (פירושונים)
[[:גלימה (פירושונים)]]	גלימה (פירושונים)
[[:חפ"ש]]	חפ"ש
[[:פנקו]]	פנקו
[[:סוטה]]	סוטה
[[:כלבו]]	כלבו
[[:שיפר]]	שיפר
[[:וייט]]	וייט
[[:זר]]	זר
[[:סמל (פירושונים)]]	סמל (פירושונים)
[[:בורות (פירושונים)]]	בורות (פירושונים)
[[:נאום (פירושונים)]]	נאום (פירושונים)
