צמחים
[[:צמחים מוגנים בישראל]]	צמחים מוגנים בישראל
[[:אירוס נצרתי]]	אירוס נצרתי
[[:שרכנים]]	שרכנים
[[:זוגן השיח]]	זוגן השיח
[[:אירוס הגלבוע]]	אירוס הגלבוע
[[:דבורנית שחומה]]	דבורנית שחומה
[[:אירוס הארגמן]]	אירוס הארגמן
[[:אירוס שחום]]	אירוס שחום
[[:יפרוק המדבר]]	יפרוק המדבר
[[:שיטה סלילנית]]	שיטה סלילנית
[[:אשל הנגב]]	אשל הנגב
[[:שזיף הדב]]	שזיף הדב
[[:צפצפת הפרת]]	צפצפת הפרת
[[:אשל היאור]]	אשל היאור
[[:דרדר קרומי]]	דרדר קרומי
[[:מררית מצויה]]	מררית מצויה
[[:צבעוני ההרים]]	צבעוני ההרים
[[:צבעוני החרמון]]	צבעוני החרמון
[[:צבעוני השרון]]	צבעוני השרון
[[:צבעוני המדבר]]	צבעוני המדבר
[[:צבעוני ססגוני]]	צבעוני ססגוני
[[:קיטה רותמית]]	קיטה רותמית
[[:גפנן המדבר]]	גפנן המדבר
[[:רכפתן מדברי]]	רכפתן מדברי
[[:אשליל שעיר]]	אשליל שעיר
[[:אוכם מדברי]]	אוכם מדברי
[[:אוג קוצני]]	אוג קוצני
[[:בן-חצב סתווני]]	בן-חצב סתווני
[[:טיונית החולות]]	טיונית החולות
[[:ציפורן נקוד]]	ציפורן נקוד
[[:אירוס ארצישראלי]]	אירוס ארצישראלי
[[:פטל לביד]]	פטל לביד
[[:אירוס ירוחם]]	אירוס ירוחם
[[:אירוס ארם נהריים]]	אירוס ארם נהריים
[[:אירוס הביצות]]	אירוס הביצות
[[:אירוס החרמון]]	אירוס החרמון
[[:אירוס הסרגל]]	אירוס הסרגל
[[:איטן החולות]]	איטן החולות
[[:אשל מרובע]]	אשל מרובע
[[:זקן-תיש ארוך]]	זקן-תיש ארוך
[[:צומח כרקוצי]]	צומח כרקוצי
[[:כרבולת מקרינה]]	כרבולת מקרינה
[[:צומח שטח]]	צומח שטח
[[:קצח זעיר-פרחים]]	קצח זעיר-פרחים
[[:כרמלית נאה]]	כרמלית נאה
[[:קחוון הנגב]]	קחוון הנגב
[[:אזנית חשופה]]	אזנית חשופה
[[:עירוי לעצים]]	עירוי לעצים
[[:פילודנדרון קסנדו]]	פילודנדרון קסנדו
